season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,12,2013,16.544647658172906,1.586677574486702,0.9989999999999999,15.844147261455225,14.131219245353078,91.63209798103611,0.6412662124092996
winter,1,2013,12.476384803825338,1.6264769393961713,1.4690411703271042,12.638784064511437,11.428234117457583,49.57771545006112,0.7537257972118533
winter,2,2013,11.883077894481785,1.923186469741176,0.9989999999999999,11.539733783236695,10.820162534392523,32.578481563954206,0.818292917275105
spring,3,2013,12.0363044451789,2.5399988878203414,0.9989999999999998,11.682725324459282,11.417998978494223,20.314327634407803,0.9144122764315371
spring,4,2013,12.639033212077747,1.9799646098617665,1.9989999999999999,13.202253543420797,12.50219036317785,34.922439633588475,0.8373487614281191
spring,5,2013,15.166120690307944,2.415136276463439,0.0,13.446100937521575,13.030690947858238,35.21669991465816,0.8223313653487742
summer,6,2013,13.489181883199212,2.1560023559136945,0.05912314387583904,12.005213393109097,11.439510785863325,34.069674839721195,0.8159414892961098
summer,7,2013,10.56955914066426,1.9618518916697205,0.9989999999999999,10.369764480492428,9.767433918005942,24.84023390424669,0.8314709757454086
summer,8,2013,11.082931746118037,2.0390653560667156,0.9989999999999848,10.817982208505622,10.258598562881257,25.442541433918628,0.8465926960709386
autumn,9,2013,11.204234788011416,1.8312026026714285,0.9989999999999999,10.954956009783995,10.170887122582744,31.754097192322135,0.8036323169846467
autumn,10,2013,14.9568648330939,2.443317539917364,0.0,13.263711651924424,12.873412305709332,33.563211221096275,0.8324274408354861
autumn,11,2013,11.896140338216531,1.7862965985921289,0.5604896349751874,11.143586480048528,10.249901015149812,37.53026800413744,0.7699375060141138
winter,12,2014,14.08314969189041,2.000797941255917,0.9989999999999459,13.479775869771204,12.724848165400056,42.53191039119721,0.7895539563447137
winter,1,2014,13.988387376654329,1.7049468975943969,0.9989999999997616,13.47760883092445,12.281549355863092,56.78530857350237,0.7295168773623901
winter,2,2014,16.83357018856101,1.9880028789916897,0.0,14.920069251905172,13.999375885370025,61.48786253668327,0.7025794197051312
spring,3,2014,13.480999577082875,1.9154604435536668,0.9989999999999996,12.958553470080354,12.132256423997317,42.2447248242858,0.7880465079595719
