season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,all,all,14.006753258030635,1.8130017392054925,0.9989999999999999,13.450782154835244,12.442038175328962,50.57630212334211,0.7535722626593799
spring,all,all,12.462152711246445,1.9986708559014945,0.6358287114236607,11.680258567057955,11.009987059996224,33.36951288855593,0.8150767409649611
summer,all,all,11.86350649579698,1.9370218780294786,0.8567539767455318,11.378044758888462,10.675096822843749,32.0415456205532,0.8162895978652611
autumn,all,all,12.778146210374512,1.8156701926457612,0.9989999999999187,12.357803195114734,11.441410312210179,41.975222960235136,0.7808549839241018
