season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,all,all,18.71895042125316,2.264750676243367,0.0,16.580817433224002,15.922014783187775,60.088854928450935,0.6777186999086332
spring,all,all,16.18769083236193,2.0966337942110735,0.0,14.337491797035185,13.591450470816028,51.598741056107464,0.7403301565411824
summer,all,all,14.87800361168206,2.069697462406791,0.0410740658325918,13.220017848175795,12.50450200444848,44.621637034310126,0.7712010151824096
autumn,all,all,17.427641284633665,2.288371325335705,0.0,15.438543714203345,14.84843251444338,51.13491880133979,0.7281332956718432
