season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
summer,7,2016,6.67733569916682,1.810941897457684,0.8169820272383068,6.753340370718722,6.270882599525383,11.519085240724078,0.6507387146809838
summer,8,2016,6.974209096223172,1.8883691642006313,0.6244628167333306,6.814369822121229,6.368310274120796,11.611153163251522,0.6600619749161167
autumn,9,2016,7.1576327357974,1.5839651554640404,0.8622497986198859,7.285690389954119,6.541332896030915,17.20976541986473,0.6513851763311618
autumn,10,2016,6.874260800765954,1.8606256151139164,0.0,6.104444283465082,5.645170588174408,11.598716437521718,0.5748581531754234
autumn,11,2016,6.0920480357425255,1.489254021765404,0.9989999999999996,6.503430243074348,5.762007421932279,14.154098544944794,0.5830605125815257
winter,12,2017,8.330128805466549,1.955354737435765,0.24465525801254998,7.630564050318593,7.150984624113564,15.524205787474596,0.7133729240332886
winter,1,2017,6.020418526355588,1.454646638110032,0.9989999999999999,6.455430966161842,5.678525303607687,14.525861082605118,0.5726213406120362
winter,2,2017,9.534061152700552,1.9943485293042635,0.0,8.449786483486617,7.933505623131723,19.60863305734056,0.7507976290436189
spring,3,2017,7.925312172838633,1.7699831448608903,0.9989999999999846,8.052944655226536,7.4419743646094965,16.95285418595324,0.7362998385463018
spring,4,2017,6.628024430065412,1.5383881650046909,0.754137814472721,6.720165158787183,5.977085976800449,15.662904564885794,0.6002961072631653
spring,5,2017,7.17294293543662,1.8264580010080962,0.4496315104523258,6.824144812933012,6.318414817101765,13.07874989824544,0.6458615273151114
summer,6,2017,8.673745679661177,2.268421635462129,0.11628709712526748,7.799401918855392,7.49595726942147,12.864584989445406,0.7614151206968292
summer,7,2017,7.6817578652218685,2.0917575698681374,0.0,6.803873980208075,6.447101976693448,11.668690259665313,0.6651734418014306
summer,8,2017,6.869881387731158,2.1058503155485755,0.0,6.0845025120477825,5.772479695091504,9.219785068667699,0.5991511309246496
autumn,9,2017,7.784777533624812,1.9288276833408056,0.0372039334958398,6.94202211365186,6.474777799739949,13.90591558238959,0.6561218251741963
autumn,10,2017,8.672176170489994,1.9543086711146895,0.07938539001918202,7.768669904856595,7.268577491748426,16.84194188584185,0.7149083262566226
autumn,11,2017,7.991984439033702,1.9895202902712177,0.0,7.083415459495798,6.647343749614568,13.840013713340507,0.6737254224853313
winter,12,2018,7.095030507079594,1.8016305335796212,0.9989999999999999,7.308240632628649,6.788006004321916,13.13365520491928,0.6987339461005267
winter,1,2018,9.971243133675404,2.115921515491871,0.0,8.831077719030832,8.385370446197326,19.256453425230895,0.7849172189649053
winter,2,2018,7.8266699893655245,1.6953326689909256,0.9989999999999829,7.983622038259842,7.304030139505742,17.97452188487654,0.7183167592892705
spring,3,2018,8.468980992519805,1.8203614332886728,0.26044883416203596,7.787851839120097,7.184973796224917,18.348052775177134,0.7003095488661668
spring,4,2018,8.24173922065559,1.8412110530092984,0.0,7.321833986107161,6.754105927284347,17.005610970491635,0.6676523283754523
spring,5,2018,5.5116411438258535,1.728278268204462,0.628488377172892,5.540934945682525,5.0869072610617625,8.585577985155167,0.5116588264329075
summer,6,2018,7.06844560786103,1.7093248415960425,0.4092508484161423,6.713715567265859,6.113554393056281,14.42695387027841,0.6179111265125583
summer,7,2018,6.767897305666659,1.8241150895241667,0.20878363326624969,6.223677128799358,5.744738277474268,11.671769003496859,0.5866681948805834
summer,8,2018,7.741219174687952,1.885080152139684,0.3952236564250579,7.266292175613411,6.768609742057211,14.352336820700735,0.6850971255440637
autumn,9,2018,8.435514779927212,1.8940152910326056,0.0,7.4861328193568974,6.9513763490405065,16.892013886038306,0.6861970217938782
autumn,10,2018,6.954760791615629,2.008318827634922,0.0,6.163042854213584,5.794615086219222,10.301236228865484,0.5971331198935868
autumn,11,2018,7.688851460638987,2.362048761314779,0.9989999999999211,7.8131558834366,7.582747000542321,9.41172900708345,0.807481175071592
winter,12,2019,7.722443780545313,1.8708342581912725,0.7808556621725253,7.637099130350703,7.129377801787278,14.487605845224792,0.7218149927168431
winter,1,2019,5.979705289207955,1.4228361539769796,0.998999999999972,6.435607164402426,5.62077154168986,15.023713820788057,0.5648196445284119
winter,2,2019,8.693390797567526,1.8834724150190816,0.17846142048933414,7.894899303726051,7.334587603378944,18.129127489708804,0.7136799960036424
spring,3,2019,7.643115377869233,1.5260035979994164,0.9482680654277534,7.834184543036318,6.959483787438932,21.17771740845765,0.671284713838245
spring,4,2019,7.359931212689075,1.739943719958802,0.9989999999999999,7.556108492337488,6.960989080501434,15.110973511155432,0.7039492892299747
spring,5,2019,8.091657693174579,2.1805221960339014,0.0,7.166029686773183,6.839732937014269,12.013225742719335,0.7043212926296288
summer,6,2019,7.820952230652422,2.175505753787154,0.0,6.926273277884579,6.608348693013083,11.269290567519198,0.6851430031479795
summer,7,2019,7.353445900368004,1.8308655907320655,0.6409030957792115,7.175143488607496,6.66027811626782,13.682600483235234,0.6796215052565158
summer,8,2019,9.054305720264445,1.9184569302529888,0.0,8.032079516693216,7.479715291423604,19.000889677584187,0.7195041354524175
autumn,9,2019,7.727183773313557,1.810280626331867,0.0,6.869822598199652,6.310926749815172,15.436753291125324,0.6323910439050661
autumn,10,2019,7.522970771222171,1.8787579066325084,0.0,6.678132117444784,6.18964998243485,13.640138736370123,0.627632258644858
autumn,11,2019,7.676151597188357,2.2231539840332513,0.0,6.798485647051067,6.50946087905392,10.443402119805405,0.679974940765834
winter,12,2020,9.13861817799831,1.9941106285399606,0.0,8.099334157961312,7.604281951417568,18.019708253279134,0.7352881221661183
winter,1,2020,7.511713826055703,1.5148239182459473,0.5041150996919147,7.27736038868288,6.401522347931695,20.76948363041063,0.6212728886817172
winter,2,2020,10.326183066755078,1.8823808922428817,0.756794995971008,9.92271776278453,9.256025387015681,25.606497607006514,0.8003424828700418
spring,3,2020,7.266218643913465,2.0058977340408024,0.9989999999992203,7.438179684457085,7.051784260223338,11.26945475610843,0.7387535239487242
spring,4,2020,8.133586802146205,1.8940287048923476,0.0,7.21818389243247,6.702578549251971,15.704232105757919,0.6693236341905611
spring,5,2020,8.893691144661794,1.8263934654781673,0.0,7.903735016644504,7.276619443305249,20.10780563715545,0.6969757888232735
summer,6,2020,6.969082419382106,1.5714256875418973,0.9989999999999999,7.25810703990145,6.518281263966926,16.580190094355764,0.653011150653177
summer,7,2020,8.057364889852963,2.3715554348955368,0.0840313480841901,7.225245170195671,6.987618770389823,10.262768396668598,0.7335153312710618
summer,8,2020,6.943731097084476,1.6586014206499091,0.7828319642728717,6.989467045065886,6.349864530135749,14.771042997405996,0.6429898813887283
autumn,9,2020,6.1319552856455,1.5196292256723818,0.78316170745469,6.310264787139636,5.601012403944502,13.749770396182655,0.5655573900943446
autumn,10,2020,8.32139401802706,1.8298937537603905,0.9989999999999976,8.393524241400526,7.8099926833073035,17.5394528077918,0.7627326581306568
autumn,11,2020,8.65307683854456,1.808329463028396,0.0,7.693372301761343,7.065576213575381,19.397525356323886,0.6831660496266219
winter,12,2021,6.795765031427552,1.7746679478104859,0.9251197125524812,6.97285211024354,6.452836436524545,12.401734260329134,0.6669283024450816
winter,1,2021,6.351357300960043,1.6004506494875756,0.9989999999998281,6.6933160687907325,6.0503850034870545,13.270606381045198,0.6185646817242294
winter,2,2021,7.306569201259273,1.4265570344538818,0.998999999999984,7.639403054206352,6.650112967235474,22.305157282897525,0.6398238592298942
spring,3,2021,7.131959566216856,1.6586708957142504,0.9989999999999999,7.373861890622793,6.716994850713581,15.58142351412408,0.677606528350368
spring,4,2021,6.304788245232904,2.2093372917528034,0.47081969580009203,6.05458011390773,5.811839916246572,7.1240559872230005,0.6178337949928201
spring,5,2021,6.238351980217576,1.7965086469595932,0.4409520952563323,5.989160848521643,5.528022158346056,10.208839420433328,0.5657354614756734
summer,6,2021,6.9287870702282675,2.3109588199738815,0.0,6.138660233373538,5.912607879784116,7.943416460266532,0.6246827313959429
summer,7,2021,5.3333240984341455,1.4699499070669273,0.998999999999975,5.825938432864076,5.15535167387581,11.149700698098252,0.518303207091211
